method,size,range,distribution,ordered,time
binarySort,8000000,10000,normal,True,6.089479684829712
quickSort,9000000,10000,normal,True,22.86299180984497
mergeSort,9000000,10000,normal,True,27.30733060836792
binarySort,9000000,10000,normal,True,6.819514036178589
quickSort,10000000,10000,normal,True,25.14610528945923
mergeSort,10000000,10000,normal,True,30.31773090362549
binarySort,10000000,10000,normal,True,7.5092082023620605
quickSort,1000000,50000,normal,True,1.9096331596374512
mergeSort,1000000,50000,normal,True,2.285351276397705
binarySort,1000000,50000,normal,True,0.7893447875976562
quickSort,2000000,50000,normal,True,4.636368751525879
mergeSort,2000000,50000,normal,True,5.0299577713012695
binarySort,2000000,50000,normal,True,1.625516414642334
quickSort,3000000,50000,normal,True,8.061859846115112
mergeSort,3000000,50000,normal,True,8.032190322875977
binarySort,3000000,50000,normal,True,2.5087361335754395
quickSort,4000000,50000,normal,True,10.916765689849854
mergeSort,4000000,50000,normal,True,10.874959707260132
binarySort,4000000,50000,normal,True,3.4374470710754395
quickSort,5000000,50000,normal,True,13.450998783111572
mergeSort,5000000,50000,normal,True,14.093386888504028
binarySort,5000000,50000,normal,True,4.206115961074829
quickSort,6000000,50000,normal,True,15.977597951889038
mergeSort,6000000,50000,normal,True,17.354117155075073
binarySort,6000000,50000,normal,True,5.181859970092773
quickSort,7000000,50000,normal,True,19.478361129760742
mergeSort,7000000,50000,normal,True,20.28597354888916
binarySort,7000000,50000,normal,True,5.851431131362915
quickSort,8000000,50000,normal,True,21.967352151870728
mergeSort,8000000,50000,normal,True,23.992985248565674
binarySort,8000000,50000,normal,True,6.831817388534546
quickSort,9000000,50000,normal,True,26.282776832580566
mergeSort,9000000,50000,normal,True,27.171971082687378
binarySort,9000000,50000,normal,True,7.741976976394653
quickSort,10000000,50000,normal,True,30.77717399597168
mergeSort,10000000,50000,normal,True,30.98949885368347
binarySort,10000000,50000,normal,True,8.646024227142334
quickSort,1000000,100000,normal,True,2.1773624420166016
mergeSort,1000000,100000,normal,True,2.3376998901367188
binarySort,1000000,100000,normal,True,0.9148619174957275
quickSort,2000000,100000,normal,True,5.382824182510376
mergeSort,2000000,100000,normal,True,5.213600397109985
binarySort,2000000,100000,normal,True,1.7512996196746826
quickSort,3000000,100000,normal,True,7.820302486419678
mergeSort,3000000,100000,normal,True,8.048012495040894
binarySort,3000000,100000,normal,True,2.628474712371826
quickSort,4000000,100000,normal,True,10.4888916015625
mergeSort,4000000,100000,normal,True,11.00028657913208
binarySort,4000000,100000,normal,True,3.4590938091278076
quickSort,5000000,100000,normal,True,14.042037725448608
mergeSort,5000000,100000,normal,True,14.302096366882324
binarySort,5000000,100000,normal,True,4.489809274673462
quickSort,6000000,100000,normal,True,17.25440287590027
mergeSort,6000000,100000,normal,True,18.089942455291748
binarySort,6000000,100000,normal,True,5.46895956993103
quickSort,7000000,100000,normal,True,20.061344861984253
mergeSort,7000000,100000,normal,True,20.707418203353882
binarySort,7000000,100000,normal,True,6.4396653175354
quickSort,8000000,100000,normal,True,25.356477975845337
mergeSort,8000000,100000,normal,True,23.72162890434265
binarySort,8000000,100000,normal,True,6.991132736206055
quickSort,9000000,100000,normal,True,28.031152963638306
mergeSort,9000000,100000,normal,True,27.16534113883972
binarySort,9000000,100000,normal,True,8.044059753417969
quickSort,10000000,100000,normal,True,30.56836175918579
mergeSort,10000000,100000,normal,True,31.24442219734192
binarySort,10000000,100000,normal,True,8.797797441482544
quickSort,1000000,200000,normal,True,2.1646995544433594
mergeSort,1000000,200000,normal,True,2.2896111011505127
binarySort,1000000,200000,normal,True,0.963362455368042
quickSort,2000000,200000,normal,True,5.352349519729614
mergeSort,2000000,200000,normal,True,5.011479139328003
binarySort,2000000,200000,normal,True,1.7845876216888428
quickSort,3000000,200000,normal,True,9.25455379486084
mergeSort,3000000,200000,normal,True,7.97667670249939
binarySort,3000000,200000,normal,True,2.742403745651245
quickSort,4000000,200000,normal,True,11.181597232818604
mergeSort,4000000,200000,normal,True,11.002583980560303
binarySort,4000000,200000,normal,True,3.566495895385742
