method,size,range,distribution,ordered,time
mergeSort,12000000,40000,uniform,True,69.70651030540466
binarySort,13000000,40000,uniform,True,37.82340908050537
quickSort,1000000,50000,uniform,True,3.529571294784546
mergeSort,1000000,50000,uniform,True,4.485033988952637
binarySort,1000000,50000,uniform,True,2.108910322189331
quickSort,13000000,40000,uniform,True,67.74567246437073
quickSort,2000000,50000,uniform,True,7.580480575561523
mergeSort,13000000,40000,uniform,True,74.44504380226135
mergeSort,2000000,50000,uniform,True,9.332855939865112
binarySort,2000000,50000,uniform,True,4.758500099182129
binarySort,3000000,50000,uniform,True,7.544930458068848
quickSort,3000000,50000,uniform,True,13.080060243606567
binarySort,14000000,40000,uniform,True,41.14614295959473
mergeSort,3000000,50000,uniform,True,15.06525182723999
quickSort,14000000,40000,uniform,True,71.22926878929138
binarySort,4000000,50000,uniform,True,9.921191215515137
quickSort,4000000,50000,uniform,True,17.181233406066895
mergeSort,4000000,50000,uniform,True,19.692618370056152
mergeSort,14000000,40000,uniform,True,79.43464374542236
binarySort,5000000,50000,uniform,True,12.632878303527832
quickSort,5000000,50000,uniform,True,23.36054015159607
mergeSort,5000000,50000,uniform,True,25.975637912750244
binarySort,6000000,50000,uniform,True,15.638461589813232
quickSort,6000000,50000,uniform,True,26.604838132858276
mergeSort,6000000,50000,uniform,True,31.116069316864014
binarySort,7000000,50000,uniform,True,18.62998390197754
quickSort,7000000,50000,uniform,True,33.5509307384491
mergeSort,7000000,50000,uniform,True,37.67719054222107
binarySort,8000000,50000,uniform,True,21.838231563568115
quickSort,8000000,50000,uniform,True,38.90924334526062
mergeSort,8000000,50000,uniform,True,43.129377603530884
binarySort,9000000,50000,uniform,True,24.900635480880737
quickSort,9000000,50000,uniform,True,45.47375988960266
mergeSort,9000000,50000,uniform,True,49.462310552597046
binarySort,10000000,50000,uniform,True,27.968140602111816
quickSort,10000000,50000,uniform,True,50.88986539840698
mergeSort,10000000,50000,uniform,True,54.4337522983551
binarySort,11000000,50000,uniform,True,31.16003918647766
quickSort,11000000,50000,uniform,True,55.977126598358154
mergeSort,11000000,50000,uniform,True,60.264137983322144
binarySort,12000000,50000,uniform,True,33.80242919921875
quickSort,12000000,50000,uniform,True,64.05865430831909
mergeSort,12000000,50000,uniform,True,66.50409626960754
binarySort,13000000,50000,uniform,True,38.05945158004761
quickSort,1000000,10000,normal,True,2.964508056640625
mergeSort,1000000,10000,normal,True,4.382976293563843
quickSort,13000000,50000,uniform,True,67.78103137016296
binarySort,1000000,10000,normal,True,1.915311574935913
quickSort,2000000,10000,normal,True,6.607217311859131
mergeSort,2000000,10000,normal,True,9.101879119873047
mergeSort,13000000,50000,uniform,True,74.40319204330444
binarySort,2000000,10000,normal,True,4.369619131088257
binarySort,3000000,10000,normal,True,6.35251784324646
quickSort,3000000,10000,normal,True,10.896785736083984
binarySort,14000000,50000,uniform,True,40.91480994224548
mergeSort,3000000,10000,normal,True,14.391319513320923
binarySort,4000000,10000,normal,True,9.408629417419434
quickSort,4000000,10000,normal,True,15.085806369781494
quickSort,14000000,50000,uniform,True,75.6621036529541
mergeSort,4000000,10000,normal,True,20.23231792449951
quickSort,5000000,10000,normal,True,19.910709142684937
binarySort,5000000,10000,normal,True,11.787377119064331
mergeSort,14000000,50000,uniform,True,79.08513307571411
quickSort,6000000,10000,normal,True,23.887483596801758
mergeSort,5000000,10000,normal,True,25.49536967277527
binarySort,6000000,10000,normal,True,14.461209058761597
mergeSort,6000000,10000,normal,True,32.87677264213562
quickSort,7000000,10000,normal,True,28.250854015350342
binarySort,7000000,10000,normal,True,17.060028314590454
mergeSort,7000000,10000,normal,True,37.44815707206726
quickSort,8000000,10000,normal,True,34.090301513671875
binarySort,8000000,10000,normal,True,20.416816234588623
mergeSort,8000000,10000,normal,True,43.52565264701843
binarySort,9000000,10000,normal,True,22.639671325683594
quickSort,9000000,10000,normal,True,38.28284764289856
mergeSort,9000000,10000,normal,True,50.15044665336609
binarySort,10000000,10000,normal,True,25.878158807754517
quickSort,10000000,10000,normal,True,43.86952471733093
mergeSort,10000000,10000,normal,True,55.26155471801758
binarySort,11000000,10000,normal,True,28.51033306121826
quickSort,11000000,10000,normal,True,47.81450700759888
mergeSort,11000000,10000,normal,True,62.00543284416199
binarySort,12000000,10000,normal,True,31.15896201133728
quickSort,12000000,10000,normal,True,52.09817600250244
mergeSort,12000000,10000,normal,True,67.79360342025757
binarySort,13000000,10000,normal,True,33.72549653053284
quickSort,13000000,10000,normal,True,57.00288939476013
